review_id,input,aspect,label
308,"aspect: organizare. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",organizare,1
308,"aspect: soferi_vatmani. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",soferi_vatmani,1
308,"aspect: validare_bilete. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",validare_bilete,1
308,"aspect: relatii_clienti. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",relatii_clienti,0
308,"aspect: aglomeratie. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",aglomeratie,0
308,"aspect: acoperire_rute. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",acoperire_rute,0
308,"aspect: curatenie. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",curatenie,0
308,"aspect: controlori. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",controlori,0
308,"aspect: pret. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",pret,0
308,"aspect: siguranta. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",siguranta,0
308,"aspect: frecventa. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",frecventa,0
308,"aspect: stare_vehicule. text: Compania îşi îmbunătățeşte serviciile pe zi ce trece. Astept cu nerabdare noile tarife. Aş dori să fie înlocuite toate aparatele de taxare clasice cu cele electronice, pentru că foarte adesea cele vechi rup biletele sau nu le stampilează. Mai este de lucrat la modul în care conduc şoferii şi vatmanii. Ei trebuie să înțeleagă că transportă persoane şi nu marfă.",stare_vehicule,0
SIM_057,"aspect: relatii_clienti. text: Am avut o problemă cu cardul de abonament și am mers la ghișeu să o rezolv. Timpul de așteptare a fost cam 20 de minute, doamna de acolo a rezolvat problema în vreo 10 minute. Nu a fost o experiență rea dar nici extraordinară.",relatii_clienti,1
SIM_057,"aspect: punctualitate. text: Am avut o problemă cu cardul de abonament și am mers la ghișeu să o rezolv. Timpul de așteptare a fost cam 20 de minute, doamna de acolo a rezolvat problema în vreo 10 minute. Nu a fost o experiență rea dar nici extraordinară.",punctualitate,0
SIM_057,"aspect: siguranta. text: Am avut o problemă cu cardul de abonament și am mers la ghișeu să o rezolv. Timpul de așteptare a fost cam 20 de minute, doamna de acolo a rezolvat problema în vreo 10 minute. Nu a fost o experiență rea dar nici extraordinară.",siguranta,0
SIM_057,"aspect: organizare. text: Am avut o problemă cu cardul de abonament și am mers la ghișeu să o rezolv. Timpul de așteptare a fost cam 20 de minute, doamna de acolo a rezolvat problema în vreo 10 minute. Nu a fost o experiență rea dar nici extraordinară.",organizare,0
253,aspect: frecventa. text: Ar trebui să faceți ceva să vină autobuzele la timp!Să stai 40 de minute dimineața să ajungi în Bucium și niciun autobuz?Jalnic!,frecventa,1
253,aspect: aglomeratie. text: Ar trebui să faceți ceva să vină autobuzele la timp!Să stai 40 de minute dimineața să ajungi în Bucium și niciun autobuz?Jalnic!,aglomeratie,0
253,aspect: punctualitate. text: Ar trebui să faceți ceva să vină autobuzele la timp!Să stai 40 de minute dimineața să ajungi în Bucium și niciun autobuz?Jalnic!,punctualitate,0
253,aspect: infrastructura_statii. text: Ar trebui să faceți ceva să vină autobuzele la timp!Să stai 40 de minute dimineața să ajungi în Bucium și niciun autobuz?Jalnic!,infrastructura_statii,0
131,"aspect: frecventa. text: Am piersut programarea la medic asteptand 30 de minute tramvaiul 7. Am vrut sa fiu eco, sa nu iau masina. M am lamurit.",frecventa,1
131,"aspect: acoperire_rute. text: Am piersut programarea la medic asteptand 30 de minute tramvaiul 7. Am vrut sa fiu eco, sa nu iau masina. M am lamurit.",acoperire_rute,0
131,"aspect: validare_bilete. text: Am piersut programarea la medic asteptand 30 de minute tramvaiul 7. Am vrut sa fiu eco, sa nu iau masina. M am lamurit.",validare_bilete,0
131,"aspect: aglomeratie. text: Am piersut programarea la medic asteptand 30 de minute tramvaiul 7. Am vrut sa fiu eco, sa nu iau masina. M am lamurit.",aglomeratie,0
SIM_129,aspect: pret. text: Prețul biletului este acceptabil dar nu foarte ieftin.,pret,1
SIM_129,aspect: controlori. text: Prețul biletului este acceptabil dar nu foarte ieftin.,controlori,0
SIM_129,aspect: validare_bilete. text: Prețul biletului este acceptabil dar nu foarte ieftin.,validare_bilete,0
SIM_129,aspect: organizare. text: Prețul biletului este acceptabil dar nu foarte ieftin.,organizare,0
